지역명,lat,lon,population
서울,37.566535,126.977969,9975
부산,35.1795543,129.0756416,3452
대구,35.8714354,128.601445,2475
인천,37.4562557,126.7052062,2862
광주,35.1595454,126.8526012,1505
대전,36.3504119,127.3845475,1553
울산,35.5383773,129.3113596,1151
세종,37.5502596,127.0731389,132
경기,37.41379,127.51829,12282
강원,37.8228,128.15549,1510
충북,36.8,127.7,1578
충남,36.5184,126.79,2088
전북,35.7175,127.153,1829
전남,34.8679,126.9909,1792
경북,36.4919,128.8889,2671
경남,35.4606,128.2132,3307
제주,33.4890113,126.4983023,583
